time,GHI,AC_Power_W,Wind_Power_W,PU,Wind_PU
2020-08-14 23:30:00+08:00,0.0,0.0,48354667.58343345,0.0,0.48354667583433447
2020-08-15 00:30:00+08:00,0.0,0.0,32909234.773296714,0.0,0.32909234773296714
2020-08-15 01:30:00+08:00,0.0,0.0,24447799.3339727,0.0,0.244477993339727
2020-08-15 02:30:00+08:00,0.0,0.0,18958501.994599182,0.0,0.18958501994599183
2020-08-15 03:30:00+08:00,0.0,0.0,9546436.500082444,0.0,0.09546436500082445
2020-08-15 04:30:00+08:00,0.0,0.0,8496102.066208024,0.0,0.08496102066208024
2020-08-15 05:30:00+08:00,0.0,0.0,8980871.804919288,0.0,0.08980871804919288
2020-08-15 06:30:00+08:00,0.0,0.0,9546436.500082444,0.0,0.09546436500082445
2020-08-15 07:30:00+08:00,96.95,5776196.320896046,8980871.804919288,0.05776196320896046,0.08980871804919288
2020-08-15 08:30:00+08:00,244.3,16599497.866589645,7930537.371044867,0.16599497866589644,0.07930537371044867
2020-08-15 09:30:00+08:00,422.6,31699084.247712318,12612425.415106155,0.31699084247712317,0.12612425415106154
2020-08-15 10:30:00+08:00,620.15,49023638.10030504,13537894.916282222,0.49023638100305045,0.13537894916282223
2020-08-15 11:30:00+08:00,761.6,60623819.389703214,14463364.417458287,0.6062381938970322,0.14463364417458285
2020-08-15 12:30:00+08:00,809.9,64007801.232211865,10677565.890408752,0.6400780123221187,0.10677565890408752
2020-08-15 13:30:00+08:00,738.4499999999999,58575041.07640424,944262.8740599037,0.5857504107640424,0.009442628740599037
2020-08-15 14:30:00+08:00,769.2,59992348.433874585,0.0,0.5999234843387459,0.0
2020-08-15 15:30:00+08:00,550.6,42716951.72525114,0.0,0.4271695172525114,0.0
2020-08-15 16:30:00+08:00,422.55,31541606.17673709,349318.1947324329,0.3154160617673709,0.003493181947324329
2020-08-15 17:30:00+08:00,231.05,15939973.66155347,1704141.805035383,0.1593997366155347,0.01704141805035383
2020-08-15 18:30:00+08:00,92.05,5119236.06424788,6799407.980718559,0.0511923606424788,0.06799407980718558
2020-08-15 19:30:00+08:00,23.85,949019.4660767033,14463364.417458287,0.009490194660767034,0.14463364417458285
2020-08-15 20:30:00+08:00,0.0,0.0,60110108.3114104,0.0,0.6011010831141039
2020-08-15 21:30:00+08:00,0.0,0.0,100000000.0,0.0,1.0
2020-08-15 22:30:00+08:00,0.0,0.0,100000000.0,0.0,1.0
2020-08-15 23:30:00+08:00,0.0,0.0,100000000.0,0.0,1.0
2020-08-16 00:30:00+08:00,0.0,0.0,100000000.0,0.0,1.0
2020-08-16 01:30:00+08:00,0.0,0.0,100000000.0,0.0,1.0
2020-08-16 02:30:00+08:00,0.0,0.0,79344067.64631183,0.0,0.7934406764631183
2020-08-16 03:30:00+08:00,0.0,0.0,30441316.10349389,0.0,0.30441316103493893
2020-08-16 04:30:00+08:00,0.0,0.0,18033032.493423115,0.0,0.18033032493423115
2020-08-16 05:30:00+08:00,0.0,0.0,8496102.066208024,0.0,0.08496102066208024
2020-08-16 06:30:00+08:00,0.0,0.0,4201440.459002549,0.0,0.042014404590025485
2020-08-16 07:30:00+08:00,52.0,3099414.040239574,1406997.6246479372,0.030994140402395738,0.014069976246479373
